,0
4471,"""Jack, it'd be better to wait, an'----""  ""I love her,"" breathed Jonathan."
873,"From the marine remains copiously strewed at the mouth of the valley on the lower terraces, and southward of the town on the upper one, they are, as before remarked, undoubtedly of marine origin; but within the valley, and this fact well deserves notice, at a distance of from only a mile and a half to three or four miles from the sea, I could not find even a fragment of a shell."
351,"In Havana, in response to the manifesto from the palace, the citizens began early to decorate the public buildings and many private residences, balconies, and windows with the national colours."
4596,"That's it, in the ugly little pot with the wooden handle; the copper one's for you, with coffee in it."
1683,"He was married, and he had a daughter named Edith, who was as gentle and lovely as her father was terrible and stern."
4932,A bellowing and siren screaming that came from the flying stages warned the world that one of the aeroplanes was ready to start.
896,"My poor old Lady many a time would come           And tell me where to shear, for she had played           In childhood under them, and 'twas her pride           To keep them in their beauty."
513,"That was her first impression of the office system, that and the insignificance of herself in the presence of the office-hierarchy--manager above manager and the Mysterious Owner beyond all."
2926,"Success rewarded his long efforts, and it was worth the time, the money, and the lives that it had cost."
5327,"I design to stay here all the next week, to be at leisure by myself, to finish something of weight I have upon my hands, and which must soon be done."
5706,"That is, I do not believe he would have let it influence him."""
3230,I love Republics too well to lament the fall of Venice.
1617,"""He might marry Me."""
1752,My point is that it would suit him if you didn't come back from this trip.
699,"Like the high-caste Hindu, the nobler race will marry women of lower classes; for instance, King Njogoni's mother was a Benga; but the inverse proceeding is a disgrace to the woman, apparently an instinctive feeling on the part of the reproducer, still lingering in the most advanced societies."
7448,"'Nay, sir, for God's sake!'"
1881,"They had loaned him money, and he had gotten a position as a traveling salesman for a large wholesale house."
3242,You're only ugly--mean.
6853,"""Oh, I don't think she would disapprove after you have had a long walk."
423,"""Hold!"""
587,A curry was exactly the medium which would disguise this taste.
9751,"""I'd rather not."
3471,"he asked, with unaffected wonder."
4372,"See honest HALLAM [78] lay aside his fork,   Resume his pen, review his Lordship's work,   And, grateful for the dainties on his plate, [xxxviii]                 550   Declare his landlord can at least translate!"
1167,"how came she to suspect this!--[_Aloud._] Really, madam, I don't understand you."
3088,"595     Hail, faithful Tripos!"
